OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
goos: linux
goarch: amd64
pkg: github.com/stewkk/iu9-networks/lab1/internal/polygon
cpu: 11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz
BenchmarkGet-8      	     740	   1619433 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	     757	   1517954 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	     771	   1828171 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	     758	   1617637 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	     734	   1525546 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	     781	   1818333 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	     769	   1600903 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	     636	   1610276 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/stewkk/iu9-networks/lab1/internal/polygon	146.752s
